computer_name,event_id,Image,OriginalFileName,CommandLine,CurrentDirectory,User,ParentImage,ParentCommandLine
MY-CAL-WIN10.my-caldera.local,1,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,msedgeupdate.dll,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /ua /installsource core",C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.195.15\,NT AUTHORITY\SYSTEM,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /c"
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.EXE,"""powershell.exe"" & {Install-Module -Name AzureAD -Force}",C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -executionpolicy bypass"
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\johnny.douche\AppData\Local\Temp\vy3tb5b0\vy3tb5b0.cmdline""",C:\Users\johnny.douche\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""powershell.exe"" & {Install-Module -Name ExchangeOnlineManagement         "
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,CVTRES.EXE,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\RESB1AE.tmp"" ""c:\Users\johnny.douche\AppData\Local\Temp\vy3tb5b0\CSC2516DD1893FD4A828F6CBE1329C8F36.TMP""",C:\Users\johnny.douche\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\johnny.douche\AppData\Local\Temp\vy3tb5b0\vy3tb5b0.cmdline"""
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.EXE,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -version 2 -command $PSVersionTable.PSVersion.Major",C:\Users\johnny.douche\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" & {$v2_installed = PowerShell -version 2 -command '$PSVersionTable.PSVersion.Major'"
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\System32\rundll32.exe,RUNDLL32.EXE,"rundll32.exe C:\Windows\system32\pnpui.dll,InstallSecurityPromptRunDllW 20 Global\{12950cfe-ba4d-2c4f-bbba-42087510c827} Global\{017649c1-267b-4f4d-9acd-324feba79643} C:\Windows\System32\DriverStore\Temp\{54943e31-7f28-154e-9535-ce2baee45842}\VBoxUSB.inf C:\Windows\System32\DriverStore\Temp\{54943e31-7f28-154e-9535-ce2baee45842}\VBoxUSB.cat",C:\Windows\system32\,NT AUTHORITY\SYSTEM,C:\Windows\System32\drvinst.exe,"DrvInst.exe ""4"" ""1"" ""C:\Program Files\Oracle\VirtualBox\drivers\USB\device\VBoxUSB.inf"" ""9"" ""48f6bcb47"" ""00000000000001CC"" ""WinSta0\Default"" ""00000000000001F0"" ""208"" ""C:\Program Files\Oracle\VirtualBox\drivers\USB\device"""
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.EXE,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" & {if (Test-Path C:\Users\Public\ngrok) {exit 0} else {exit 1}} ",C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -executionpolicy bypass"
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\johnny.douche\AppData\Local\Temp\mewhv5r0\mewhv5r0.cmdline""",C:\Users\johnny.douche\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""powershell.exe"" & {Install-Module -Name AADInternals -Force}"
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,CVTRES.EXE,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\RESC187.tmp"" ""c:\Users\johnny.douche\AppData\Local\Temp\mewhv5r0\CSCCE302766A507484083133DEB31DC649.TMP""",C:\Users\johnny.douche\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\johnny.douche\AppData\Local\Temp\mewhv5r0\mewhv5r0.cmdline"""
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.EXE,"C:\Windows\system32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8;$scriptFileStream = [System.IO.File]::Open('C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8764.11253011.0.11253011.11253011-0aa2a9a1d9f4cbae1b8d23d120f639e384c1eb88\0e371fa0-b3cb-4d76-93ad-467add004280.ps1', [System.IO.FileMode]::Open, [System.IO.FileAccess]::Read, [System.IO.FileShare]::Read);$calculatedHash = Microsoft.PowerShell.Utility\Get-FileHash 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8764.11253011.0.11253011.11253011-0aa2a9a1d9f4cbae1b8d23d120f639e384c1eb88\0e371fa0-b3cb-4d76-93ad-467add004280.ps1' -Algorithm SHA256;if (!($calculatedHash.Hash -eq '63f62c778e13f9d140567927687c94531d5afffc830c67cca1e9ae25ee16b457')) { exit 323;}; . 'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8764.11253011.0.11253011.11253011-0aa2a9a1d9f4cbae1b8d23d120f639e384c1eb88\0e371fa0-b3cb-4d76-93ad-467add004280.ps1' }""",C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Downloads\,NT AUTHORITY\SYSTEM,C:\Program Files\Windows Defender Advanced Threat Protection\SenseIR.exe,"""C:\Program Files\Windows Defender Advanced Threat Protection\SenseIR.exe"" ""OfflineSenseIR"" ""3832"" ""eyJDb21tYW5kSWQiOiIiLCJEb3dubG9hZEZpbGVBY3Rpb25Db25maWciOm51bGwsIkRvd25sb2FkVHJ1c3RlZENlcnRpZmljYXRlc0NoYWlucyI6bnVsbCwiRW5hYmxlU2xlZXBTdXNwZW5zaW9uIjowLCJNYXhXYWl0Rm9yTmV3QWN0aW9uc0luTXMiOjc4MDAwMCwiT3JnSWQiOiIiLCJSdW5Qc1NjcmlwdEFjdGlvbkNvbmZpZyI6eyJlbmFibGUiOnRydWV9LCJhY2NlcHRTaW11bGF0b3JTaWduaW5nIjowLCJvZmZsaW5lSXJQaXBlSGFuZGxlIjozODQwfQ=="""
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.EXE,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" & {if (!(Test-Path \""""C:\AtomicRedTeam\atomics\ExternalPayloads\Extract-Invoke-PSImage.ps1\"""")) {exit 1} else {",C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -executionpolicy bypass"
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.EXE,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" & {if (!(Test-Path \""""C:\AtomicRedTeam\atomics\T1001.002\bin\evil_kitten.jpg\"""")) {exit 1} else {",C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -executionpolicy bypass"
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.EXE,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" & {if (Test-Path \""""C:\AtomicRedTeam\atomics\..\ExternalPayloads\procdump.exe\"""") {exit 0} else {exit 1}} ",C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -executionpolicy bypass"
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.EXE,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" & {if (Test-Path \""""C:\AtomicRedTeam\atomics\..\ExternalPayloads\Outflank-Dumpert.exe\"""") {exit 0} else {exit 1}} ",C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -executionpolicy bypass"
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.EXE,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" & {if (Test-Path 'C:\Windows\Temp\xordump.exe') {exit 0} else {exit 1}} ",C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -executionpolicy bypass"
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.EXE,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" & {if (Test-Path C:\AtomicRedTeam\atomics\..\ExternalPayloads\nanodump.x64.exe) {exit 0} else {exit 1}} ",C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -executionpolicy bypass"
MY-CAL-WIN10.my-caldera.local,1,C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\nshF91D.tmp\NPFInstall.exe,NPFInstall.exe,"""C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\nshF91D.tmp\NPFInstall.exe"" -n -check_dll",C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\nshF91D.tmp\,MY-CALDERA\johnny.douche,C:\AtomicRedTeam\ExternalPayloads\npcap_installer.exe,"""C:\AtomicRedTeam\ExternalPayloads\npcap_installer.exe"" "
MY-CAL-WIN10.my-caldera.local,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.EXE,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" & {if (cmd /c \""""nmap 2>nul\"""") {exit 0} else {exit 1}} ",C:\Users\JOHNNY~1.DOU\AppData\Local\Temp\,MY-CALDERA\johnny.douche,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -executionpolicy bypass"
