IP,computer_name,Image
127.0.2.2,MW-KOL-BV-01,C:\Windows\System32\svchost.exe
127.0.2.3,MW-KOL-BV-01,C:\Windows\System32\svchost.exe
172.16.26.226,MW-CAL-WIN10.MW-caldera.local,C:\Windows\System32\svchost.exe
1.1.1.1,MW-CAL-WIN10.MW-caldera.local,C:\Windows\System32\svchost.exe
15.222.106.248,MW-CAL-WIN10.MW-caldera.local,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
172.16.26.20,MW-CAL-WIN10.MW-caldera.local,System
15.222.106.248,MW-CAL-WIN10.MW-caldera.local,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
3.97.206.33,MW-CAL-WIN10.MW-caldera.local,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
13.89.179.11,MW-CAL-WIN10.MW-caldera.local,C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe
35.182.199.174,MW-CAL-WIN10.MW-caldera.local,C:\Program Files\WinlogBeat\winlogbeat.exe
15.223.124.170,MW-CAL-WIN10.MW-caldera.local,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
172.16.26.255,MW-CAL-WIN10.MW-caldera.local,System
172.16.26.234,MW-CAL-WIN10.MW-caldera.local,System
13.89.178.27,MW-CAL-WIN10.MW-caldera.local,C:\Windows\System32\svchost.exe
127.0.2.2,MW-CLA-JS-01,C:\Windows\System32\svchost.exe
15.222.106.248,MW-CLA-JS-01,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
127.0.2.3,MW-CLA-JS-01,C:\Windows\System32\svchost.exe
34.149.100.209,MW-CLA-JS-01,C:\Program Files\Mozilla Firefox\firefox.exe
99.77.145.43,MW-CLA-JS-01,C:\Program Files\WindowsApps\91750D7E.Slack_4.37.101.0_x64__8she8kybcnzg4\app\Slack.exe
44.216.98.239,MW-CLA-JS-01,C:\Program Files\WindowsApps\91750D7E.Slack_4.37.101.0_x64__8she8kybcnzg4\app\Slack.exe
15.223.124.170,MW-CLA-JS-01,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
99.79.100.155,MW-CAL-WIN10.MW-caldera.local,C:\Program Files\WinlogBeat\winlogbeat.exe
99.79.100.155,MW-BST-LT-CH,C:\Program Files\WinlogBeat\winlogbeat.exe
35.182.199.174,MW-BST-LT-CH,C:\Program Files\WinlogBeat\winlogbeat.exe
64.71.255.198,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
192.168.50.1,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
192.168.1.1,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
64.71.255.204,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
207.164.234.129,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
192.168.2.1,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
209.148.170.203,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
72.136.195.19,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
192.168.32.14,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
72.136.195.42,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
3.97.206.33,MW-BST-LT-CH,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
192.168.32.255,MW-BST-LT-CH,System
192.168.32.201,MW-BST-LT-CH,System
192.168.56.255,MW-BST-LT-CH,System
192.168.56.1,MW-BST-LT-CH,System
15.223.109.237,MW-BST-LT-CH,C:\Program Files\limacharlie\bluepill.exe
192.168.32.192,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
192.168.32.153,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
192.168.32.1,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
192.168.32.219,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
192.168.32.128,MW-BST-LT-CH,C:\Windows\System32\svchost.exe
127.0.2.3,MW-FLR-LT-AL,C:\Windows\System32\svchost.exe
127.0.2.2,MW-FLR-LT-AL,C:\Windows\System32\svchost.exe
192.168.1.254,MW-FLR-LT-AL,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
99.77.145.43,MW-KOL-BV-01,C:\ProgramData\Young\slack\app-4.38.121\slack.exe
18.213.32.120,MW-KOL-BV-01,C:\ProgramData\Young\slack\app-4.38.121\slack.exe
13.89.178.26,MW-KOL-BV-01,<unknown process>
18.172.185.17,MW-FLR-LT-AL,<unknown process>
15.223.84.164,MW-FLR-LT-AL,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
15.222.106.248,MW-FLR-LT-AL,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
3.97.206.33,MW-CAL-WIN10.MW-caldera.local,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
3.97.42.61,MW-CLA-JS-01,C:\Program Files\Google\Chrome\Application\chrome.exe
15.222.106.248,MW-KOL-BV-01,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
15.222.106.248,MW-KOL-BV-01,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
3.109.43.229,MW-KOL-BV-01,C:\ProgramData\Young\slack\app-4.38.121\slack.exe
106.51.156.146,MW-KOL-BV-01,C:\Windows\System32\svchost.exe
52.3.167.79,MW-CLA-JS-01,C:\Program Files\WindowsApps\91750D7E.Slack_4.37.101.0_x64__8she8kybcnzg4\app\Slack.exe
15.222.106.248,MW-CLA-JS-01,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
3.90.158.208,MW-CLA-JS-01,C:\Program Files\WindowsApps\91750D7E.Slack_4.37.101.0_x64__8she8kybcnzg4\app\Slack.exe
34.107.243.93,MW-CLA-JS-01,C:\Program Files\Mozilla Firefox\firefox.exe
192.229.211.108,MW-CAL-WIN10.MW-caldera.local,C:\Windows\System32\svchost.exe
20.22.207.36,MW-CAL-WIN10.MW-caldera.local,C:\Windows\System32\svchost.exe
192.168.1.64,MW-FLR-LT-AL,C:\Windows\System32\svchost.exe
192.168.1.64,MW-FLR-LT-AL,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
44.205.171.153,MW-CLA-JS-01,C:\Program Files\WindowsApps\91750D7E.Slack_4.37.101.0_x64__8she8kybcnzg4\app\Slack.exe
35.154.199.31,MW-CLA-JS-01,C:\Program Files\WindowsApps\91750D7E.Slack_4.37.101.0_x64__8she8kybcnzg4\app\Slack.exe
152.195.38.76,MW-CLA-JS-01,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe
15.223.124.170,MW-CLA-JS-01,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
178.79.242.128,MW-KOL-BV-01,C:\Windows\System32\svchost.exe
18.213.32.120,MW-CLA-JS-01,C:\Program Files\WindowsApps\91750D7E.Slack_4.37.101.0_x64__8she8kybcnzg4\app\Slack.exe
54.236.104.103,MW-CLA-JS-01,C:\Program Files\WindowsApps\91750D7E.Slack_4.37.101.0_x64__8she8kybcnzg4\app\Slack.exe
3.97.206.33,MW-CLA-JS-01,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
172.16.26.113,MW-CAL-WIN10.MW-caldera.local,C:\Windows\System32\svchost.exe
72.21.81.240,MW-CAL-WIN10.MW-caldera.local,C:\Windows\System32\svchost.exe
127.0.2.3,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
172.16.0.22,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
172.16.0.22,MW-AUS-WL-06,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
192.168.68.101,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
127.0.2.2,MW-AUS-WL-06,C:\Windows\System32\svchost.exe
192.168.68.1,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
127.0.2.2,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
127.0.2.3,MW-AUS-WL-06,C:\Windows\System32\svchost.exe
3.97.206.33,MW-BST-LT-VR,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
172.16.0.2,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
172.16.0.26,MW-AUS-WL-06,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
15.222.106.248,MW-BST-LT-VR,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
15.222.106.248,MW-AUS-WL-06,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
3.161.213.59,MW-BST-LT-VR,<unknown process>
192.229.211.108,MW-FLR-LT-AL,C:\Windows\System32\svchost.exe
172.16.26.232,MW-CAL-WIN10.MW-caldera.local,System
1.1.1.1,MW-CAL-WIN10.MW-caldera.local,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
152.195.38.76,MW-CLA-JS-01,C:\Windows\System32\svchost.exe
13.91.231.123,MW-CLA-JS-01,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\124.0.2478.97\msedgewebview2.exe
49.12.22.106,MW-CLA-JS-01,C:\Program Files\Google\Chrome\Application\chrome.exe
104.26.13.171,MW-CLA-JS-01,System
104.26.13.171,MW-CLA-JS-01,C:\Program Files\Google\Chrome\Application\chrome.exe
18.155.68.23,MW-CLA-JS-01,C:\Program Files\Google\Chrome\Application\chrome.exe
10.0.0.1,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
